Unnamed: 0,County,Neighborhood,Room,Saloon,m2,Price,latitude,longitude
943,Yenimahalle,Turgut Özal Mahallesi,3.0,1,145,43500,39.9900292,32.7159693
944,Keçiören,Aşağı Eğlence Mahallesi,3.0,1,135,25000,39.9715857,32.8378467
945,Mamak,Abidinpaşa Mahallesi,3.0,1,120,20500,39.928423,32.8869226
946,Keçiören,Ayvalı Mahallesi,2.0,1,90,20000,39.9833642,32.8182536
947,Yenimahalle,Demetevler Mahallesi,3.0,1,120,21500,39.9687718,32.7846709
948,Yenimahalle,Yeni Batı Mahallesi,2.5,1,90,43750,39.9744626,32.6967138
949,Keçiören,Emrah Mahallesi,3.0,1,110,19000,39.974167,32.8460721
950,Pursaklar,Merkez Mahallesi,3.0,1,120,17000,40.0371641,32.8970859
951,Altındağ,Güneşevler Mahallesi,3.0,1,125,28000,39.9715887,32.8866238
952,Yenimahalle,Demetlale Mahallesi,3.0,1,135,25000,39.9634391,32.7902555
953,Akyurt,Yıldırım Mahallesi,3.0,1,135,16500,40.122443,33.0759373
954,Keçiören,Şenlik Mahallesi,3.0,1,125,30000,39.9959239,32.8704206
955,Gölbaşı,Örencik Mahallesi,1.0,1,55,22300,39.781067,32.834237
956,Çankaya,İlker Mahallesi,5.0,1,300,50000,39.8636221,32.8375161
957,Keçiören,Yakacık Mahallesi,3.0,1,130,20500,39.9888014,32.867197
958,Keçiören,Etlik Mahallesi,2.0,1,115,25000,39.9799604,32.8284002
959,Keçiören,Aşağı Eğlence Mahallesi,2.0,1,100,18000,39.9715857,32.8378467
960,Çankaya,Maltepe Mahallesi,2.0,1,75,26000,39.9245796,32.845407
961,Keçiören,Şefkat Mahallesi,3.0,1,125,29500,39.977612,32.8741329
962,Sincan,Fatih Mahallesi,3.0,1,125,25000,39.9892521,32.5876386
963,Polatlı,Mehmet Akif Mahallesi,2.0,1,100,17000,39.5945776,32.1430935
964,Keçiören,Kuşcağız Mahallesi,3.0,1,135,29000,39.9946817,32.8518525
965,Etimesgut,Devlet Mahallesi,1.0,1,55,26500,39.9772884,32.6066636
966,Keçiören,Şenlik Mahallesi,3.0,1,125,23000,39.9959239,32.8704206
967,Polatlı,Gazi Mahallesi,1.0,1,65,21000,39.586444,32.1409014
968,Polatlı,Gazi Mahallesi,1.0,1,70,18500,39.586444,32.1409014
969,Polatlı,İstiklal Mahallesi,1.0,1,60,20000,39.576255,32.1576046
970,Şereflikoçhisar,Ekici Mahallesi,5.0,1,180,13000,38.9357055,33.5430523
971,Çankaya,Naci Çakır Mahallesi,2.0,1,85,36000,39.8777962,32.839235
972,Yenimahalle,Yunus Emre Mahallesi,2.0,1,149,27000,39.9683128,32.8124025
973,Çankaya,Maltepe Mahallesi,3.0,1,120,35000,39.9245796,32.845407
974,Gölbaşı,Taşpınar Mahallesi,1.0,1,45,20500,39.8306678,32.7588042
975,Çankaya,Hilal Mahallesi,5.0,1,330,61500,39.8688676,32.8560354
976,Keçiören,Ayvalı Mahallesi,3.0,1,125,26500,39.9833642,32.8182536
977,Gölbaşı,Taşpınar Mahallesi,4.0,1,225,78000,39.8306678,32.7588042
978,Çankaya,Alacaatlı Mahallesi,1.0,0,40,15500,39.8478748,32.6747922
979,Etimesgut,Turkuaz Mahallesi,2.0,1,100,20000,39.813935,32.5702419
980,Çankaya,Remzi Oğuz Arık Mahallesi,2.0,1,90,31000,39.9072111,32.8598419
981,Çankaya,Beytepe Mahallesi,3.0,1,155,47000,39.8564127,32.7405291
982,Keçiören,Aşağı Eğlence Mahallesi,3.0,1,130,24000,39.9715857,32.8378467
983,Etimesgut,Şehit Osman Avcı Mahallesi,1.0,1,58,24000,39.9792655,32.6539061
984,Yenimahalle,Demetlale Mahallesi,2.0,1,100,28000,39.9634391,32.7902555
985,Yenimahalle,Demetgül Mahallesi,2.0,1,75,25000,39.96265,32.7945377
986,Yenimahalle,Demetgül Mahallesi,3.0,1,120,28500,39.96265,32.7945377
987,Yenimahalle,Demetlale Mahallesi,2.0,1,100,20000,39.9634391,32.7902555
988,Etimesgut,Atayurt Mahallesi,2.0,1,85,18000,39.8419009,32.5398583
989,Altındağ,Gültepe Mahallesi,2.0,1,80,15000,39.9487494,32.8849449
990,Mamak,Aşık Veysel Mahallesi,3.0,1,110,25000,39.9240176,32.8954237
991,Gölbaşı,İncek Mahallesi,1.0,1,45,20750,39.8075431,32.6973502
992,Gölbaşı,İncek Mahallesi,2.0,1,78,25250,39.8075431,32.6973502
993,Polatlı,Yeni Mahallesi,3.0,1,135,13500,39.5780662,32.1470097
994,Çankaya,Emek Mahallesi,4.0,1,150,55000,39.9222107,32.8174961
995,Beypazarı,Hacıkara Mahallesi,3.0,1,150,22000,40.1527383,31.915381
996,Keçiören,Yakacık Mahallesi,3.0,1,130,20500,39.9888014,32.867197
997,Mamak,Bahçelerüstü Mahallesi,3.0,1,115,27000,39.9405637,32.895715
998,Keçiören,Ayvalı Mahallesi,3.0,1,90,17000,39.9833642,32.8182536
999,Çankaya,100. Yıl Mahallesi,3.0,1,115,30000,39.9005605,32.870189
1000,Mamak,Bahçeleriçi Mahallesi,3.0,1,110,20000,39.9306666,32.9164947
1001,Etimesgut,Tunahan Mahallesi,1.0,0,54,20000,39.9860189,32.6232237
1002,Mamak,Aşık Veysel Mahallesi,1.0,1,50,23500,39.9240176,32.8954237
1003,Keçiören,Aşağı Eğlence Mahallesi,3.0,1,120,21000,39.9715857,32.8378467
1004,Çankaya,İlkbahar Mahallesi,3.0,1,130,36500,39.8621563,32.8585944
1005,Yenimahalle,Yuvaköy Mahallesi,4.0,1,200,55000,40.0203817,32.7265363
1006,Mamak,Demirlibahçe Mahallesi,1.0,1,55,31500,39.9365913,32.8825623
1007,Yenimahalle,Yuvaköy Mahallesi,4.0,1,200,55000,40.0203817,32.7265363
1008,Mamak,Demirlibahçe Mahallesi,1.0,1,55,31500,39.9365913,32.8825623
1009,Çankaya,Bahçelievler Mahallesi,2.0,1,110,40000,39.9278078,32.8264893
1010,Çankaya,İşçi Blokları Mahallesi,2.0,1,94,35000,39.8935146,32.7982283
1011,Çankaya,Maltepe Mahallesi,1.0,0,119,25000,39.9245796,32.845407
1012,Keçiören,Kamil Ocak Mahallesi,3.0,1,110,15000,39.9842949,32.8807172
1013,Yenimahalle,Emniyet Mahallesi,2.0,1,90,30500,39.9432702,32.8191242
1014,Polatlı,Gazi Mahallesi,3.0,1,115,12000,39.586444,32.1409014
