,County,Neighborhood,Room,Saloon,m2,Price
555,Keçiören,Köşk Mahallesi,2.0,1,105,20000
556,Sincan,Malazgirt Mahallesi,3.0,1,140,20000
557,Etimesgut,Atayurt Mahallesi,3.0,1,137,20000
558,Yenimahalle,Yeni Batı Mahallesi,2.0,1,85,42000
559,Mamak,Durali Alıç Mahallesi,3.0,1,145,26500
560,Altındağ,Karacaören Mahallesi,2.0,1,95,12500
561,Etimesgut,Topçu Mahallesi,3.0,1,110,26000
562,Çankaya,Yukarı Bahçelievler Mahallesi,1.0,1,60,36000
563,Yenimahalle,Turgut Özal Mahallesi,4.0,1,175,50000
564,Etimesgut,Tunahan Mahallesi,1.0,1,52,18000
565,Etimesgut,Ayyıldız Mahallesi,2.0,1,90,27000
566,Etimesgut,Aşağıyurtçu Mahallesi,3.0,1,118,18000
567,Çankaya,Emek Mahallesi,4.0,1,130,38000
568,Çankaya,Emek Mahallesi,1.0,1,55,35000
569,Sincan,Fevzi Çakmak Mahallesi,3.0,1,130,24500
570,Yenimahalle,Demetgül Mahallesi,2.0,1,100,22000
571,Keçiören,Emrah Mahallesi,2.0,1,115,25000
572,Mamak,Cengizhan Mahallesi,3.0,1,135,22000
573,Yenimahalle,Demetlale Mahallesi,2.0,1,110,26000
574,Yenimahalle,Demetgül Mahallesi,2.0,1,90,20000
575,Pursaklar,Fatih Mahallesi,3.0,1,125,22750
576,Çankaya,100. Yıl Mahallesi,1.0,1,80,35000
577,Keçiören,Etlik Mahallesi,3.0,1,100,20000
578,Çankaya,Cebeci Mahallesi,1.0,1,55,29500
579,Çankaya,Yaşamkent Mahallesi,2.0,1,55,21000
580,Çankaya,Yıldızevler Mahallesi,5.0,1,260,47500
581,Çankaya,Kızılırmak Mahallesi,4.5,1,240,90000
582,Etimesgut,Atakent Mahallesi,2.0,1,110,29000
583,Mamak,Durali Alıç Mahallesi,3.0,1,130,36999
584,Çankaya,Kırkkonaklar Mahallesi,3.0,1,160,38000
585,Gölbaşı,Bahçelievler Mahallesi,1.0,1,58,30000
586,Keçiören,Yayla Mahallesi,2.0,1,100,26000
587,Etimesgut,30 Ağustos Mahallesi,3.0,1,110,20000
588,Sincan,Andiçen Mahallesi,3.0,1,120,18000
589,Keçiören,Pınarbaşı Mahallesi,3.0,1,115,16500
590,Sincan,Törekent Mahallesi,4.0,1,180,42500
591,Etimesgut,Güzelkent Mahallesi,3.0,1,135,27000
592,Etimesgut,Yavuz Selim Mahallesi,3.0,1,130,29000
593,Etimesgut,Eryaman Mahallesi,3.0,1,125,27000
594,Çankaya,Seyranbağları Mahallesi,2.0,1,80,25000
595,Etimesgut,Eryaman Mahallesi,3.0,1,125,27000
596,Çankaya,Seyranbağları Mahallesi,2.0,1,80,25000
597,Yenimahalle,İlkyerleşim Mahallesi,3.0,1,145,34500
598,Çankaya,Erzurum Mahallesi,2.0,1,80,30000
599,Etimesgut,Yeşilova Mahallesi,2.0,1,76,35000
600,Çankaya,Hilal Mahallesi,2.0,1,120,39000
601,Mamak,Karaağaç Mahallesi,3.0,1,110,17500
602,Mamak,Mehtap Mahallesi,3.0,1,115,20000
603,Sincan,Andiçen Mahallesi,3.0,1,120,20000
604,Yenimahalle,Yeni Batı Mahallesi,4.0,1,190,50000
605,Çankaya,Büyükesat Mahallesi,4.0,1,180,50000
606,Keçiören,Kanuni Mahallesi,3.0,1,110,14000
607,Kahramankazan,Atatürk Mahallesi,3.0,1,135,18000
608,Yenimahalle,Pamuklar Mahallesi,3.0,1,150,34000
609,Gölbaşı,Seğmenler Mahallesi,3.0,1,125,25500
610,Gölbaşı,Bahçelievler Mahallesi,1.0,1,55,29500
611,Gölbaşı,Seğmenler Mahallesi,1.0,1,60,22000
612,Mamak,Hürel Mahallesi,2.0,1,95,16000
613,Mamak,Türközü Mahallesi,1.0,1,60,35750
614,Mamak,Fahri Korutürk Mahallesi,3.0,1,135,22000
615,Çankaya,Akpınar Mahallesi,4.0,1,135,32000
616,Çankaya,Malazgirt Mahallesi,3.0,1,135,26000
617,Altındağ,Karapürçek Mahallesi,5.0,2,260,30000
618,Polatlı,İstiklal Mahallesi,4.0,1,185,25500
619,Etimesgut,Devlet Mahallesi,3.0,1,110,45000
620,Sincan,Plevne Mahallesi,3.0,1,110,18000
621,Çankaya,Çiğdem Mahallesi,4.0,1,200,57000
622,Çankaya,İşçi Blokları Mahallesi,2.0,1,100,32000
623,Sincan,Menderes Mahallesi,3.0,1,130,30000
624,Keçiören,Ovacık Mahallesi,4.0,1,200,51000
625,Keçiören,Etlik Mahallesi,3.0,1,110,28500
626,Akyurt,Yıldırım Mahallesi,3.0,1,145,17000
627,Akyurt,Yıldırım Mahallesi,3.0,1,160,16500
628,Gölbaşı,Örencik Mahallesi,1.0,1,70,26500
629,Etimesgut,Yapracık Mahallesi,4.5,1,200,55000
630,Çankaya,Seyranbağları Mahallesi,2.0,1,80,15000
631,Etimesgut,Devlet Mahallesi,3.0,1,120,28000
632,Çankaya,Güvenevler Mahallesi,2.0,1,105,45000
633,Gölbaşı,Seğmenler Mahallesi,3.0,1,140,29750
634,Yenimahalle,Demetlale Mahallesi,3.0,1,140,25500
635,Keçiören,İncirli Mahallesi,4.0,1,220,34000
636,Gölbaşı,Taşpınar Mahallesi,1.0,1,50,26000
637,Çankaya,Kültür Mahallesi,3.0,1,130,27000
638,Çankaya,Büyükesat Mahallesi,3.0,1,120,28000
639,Pursaklar,Fatih Mahallesi,3.0,1,125,22000
640,Gölbaşı,Şafak Mahallesi,3.0,1,125,23500
641,Sincan,Menderes Mahallesi,3.0,1,130,30000
642,Etimesgut,Alsancak Mahallesi,2.0,1,95,17500
643,Sincan,Saraycık Mahallesi,3.0,1,133,35000
644,Keçiören,Atapark Mahallesi,2.0,1,95,27000
645,Gölbaşı,Taşpınar Mahallesi,1.0,1,50,27000
646,Beypazarı,Başağaç Mahallesi,2.0,1,80,25000
647,Keçiören,Yükseltepe Mahallesi,2.0,1,92,13500
648,Çankaya,Şehit Cevdet Özdemir Mahallesi,3.0,1,120,29000
649,Mamak,Altıağaç Mahallesi,3.0,1,110,24000
650,Çankaya,Harbiye Mahallesi,2.0,1,80,22000
651,Altındağ,Gültepe Mahallesi,3.0,1,120,23000
652,Çankaya,Konutkent Mahallesi,2.0,1,80,40000
653,Yenimahalle,Ragıp Tüzün Mahallesi,2.0,1,100,27000
654,Keçiören,Etlik Mahallesi,1.0,1,60,28000
655,Keçiören,Yayla Mahallesi,3.0,1,130,30000
656,Keçiören,Etlik Mahallesi,3.0,1,150,35000
657,Mamak,Akşemsettin Mahallesi,4.5,1,235,52000
658,Çankaya,Büyükesat Mahallesi,2.0,1,115,25000
659,Çankaya,Güvenevler Mahallesi,3.0,1,135,45000
